SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,ArtistFamiliarity,ArtistHotttnesss,SongHotttnesss,EndOfFadeIn,Energy,Loudness,StartOfFadeOut
11,"b'SOQHXMF12AB0182363'",539081,"b'I Need You'","b'ARGSJW91187B9B1D6B'",35.21962,"b'North Carolina'",-80.01955,"b'JennyAnyKind'",0.0,218.77506,5,0.354,146.765,1,0.0,"b'Young Boy Blues'",0,0.3600311664643514,0.29626895431146333,0.0,2.125,0.0,-10.021,207.012
12,"b'SOKEJEJ12A8C13E0D0'",163874,"b'The Way Home'","b'ARC43071187B990240'",,"b'Wisner LA'",,"b'Wayne Watson'",0.0,245.21098,7,0.07,117.975,4,0.835,"b'The Urgency (LP Version)'",0,0.5451592956008632,0.35155586118563925,0.26586104921065007,0.357,0.0,-7.545,227.48
13,"b'SOMUYGI12AB0188633'",575792,"b'Placer & Castigo'","b'ARL7K851187B99ACD2'",,"b''",,"b'Andy Andy'",0.0,226.35057,9,0.205,130.04,4,0.0,"b'La Culpa'",0,0.5775089743252977,0.3794821702804675,0.0,0.0,0.0,-6.632,221.553
14,"b'SORAMLE12AB017C8B0'",815863,"b'Arrivederci'","b'ARHHO3O1187B989413'",,"b''",,"b'Bob Azzam'",0.0,191.84281,10,0.0,137.334,1,0.319,"b'Auguri Cha Cha'",0,0.08551204710857879,0.25193652476242323,0.0,0.38,0.0,-7.75,188.424
15,"b'SOBONFF12A6D4F84D8'",25811,"b'Dancing On The Ceiling'","b'ARIK43K1187B9AE54C'",,"b'Beverly Hills CA'",,"b'Lionel Richie'",0.0,307.3824,3,0.524,125.197,3,0.211,"b'Tonight Will Be Alright'",1986,0.7766758556845541,0.5530719914619753,nan,0.612,0.0,-8.346,296.658
16,"b'SOHUOAP12A8AE488E9'",135122,"b'Outskirts'","b'ARD842G1187B997376'",43.64856,"b'Toronto Ontario Canada'",-79.38533,"b'Blue Rodeo'",0.0,491.12771,7,1.0,119.826,4,0.756,"b'Floating'",1987,0.6364236449500698,0.4479354804795022,0.4051157216913865,0.0,0.0,-8.576,486.034
17,"b'SOUQQEA12A8C134B1B'",149958,"b'Cross Currents'","b'ARIG6O41187B988BDD'",37.16793,"b'United States'",-95.84502,"b'Richard Souther'",0.0,228.5971,8,0.041,127.756,5,0.579,"b'High Tide'",0,0.4199431484349393,0.33080635685585685,0.3347065490692206,0.223,0.0,-16.11,217.426
18,"b'SOILPQQ12AB017E82A'",535188,"b'Panjtan Ka Ghulam'","b'AR1ZHYZ1187FB3C717'",,"b''",,"b'Faiz Ali Faiz'",0.0,599.24853,6,0.06,99.273,4,0.158,"b'Sohna Nee Sohna Data'",0,0.3632805711099885,0.30667609347902947,nan,1.193,0.0,-8.032,591.999
19,"b'SOXLBJT12A8C140925'",372309,"b'Gold'","b'ARYKCQI1187FB3B18F'",,"b''",,"b'Tesla'",0.0,290.29832,7,0.725,150.062,4,0.931,"b'Caught In A Dream'",2004,0.7071997638379363,0.5134632897021558,0.6841361912294903,0.145,0.0,-5.271,285.605
20,"b'SOZVMJI12AB01808AF'",541101,"b'Whatever Happened To Boredom?'","b'ARNPAGP1241B9C7FD4'",,"b''",,"b'lextrical'",0.0,165.69424,7,0.011,138.331,4,0.127,"b'Synthetic Dream'",0,0.32031437017067216,0.0,0.0,0.162,0.0,-6.787,157.391
21,"b'SOWTBJW12AC468AC6E'",605134,"b'1942-1952 Jimmy Wakely'","b'ARQGYP71187FB44566'",34.31109,"b'Mineola AR'",-94.02978,"b'Jimmy Wakely'",0.0,151.84934,1,0.799,86.186,3,0.929,"b'Broken-Down Merry-Go-Round'",0,0.39413853984589253,0.29153972708877773,nan,2.827,0.0,-15.221,146.199
22,"b'SOBEBDG12A58A76D60'",239740,"b'All The Good Times'","b'ARI3BMM1187FB4255E'",38.8991,"b'Washington'",-77.029,"b'Alice Stuart'",0.0,220.78649,11,0.809,110.382,1,0.192,"b'Kassie Jones'",0,0.4898162689820407,0.3285530150180186,0.0,0.206,0.0,-8.514,207.656
23,"b'SOZCTXZ12AB0182364'",386995,"b'Un cafe_ setanta matins'","b'AR5KOSW1187FB35FF4'",49.80388,"b'Dubai UAE'",15.47491,"b'Elena'",0.0,269.58322,2,0.596,111.874,4,1.0,"b'Setanta matins'",0,0.6774204652262298,0.37825468551016656,0.3135621142479342,0.0,0.0,-8.05,256.168
24,"b'SOBBUGU12A8C13E95D'",223365,"b'Miss Machine'","b'ARMAC4T1187FB3FA4C'",40.82624,"b'Morris Plains NJ'",-74.47995,"b'The Dillinger Escape Plan'",0.0,207.77751,7,0.381,166.862,4,0.0,"b'Setting Fire to Sleeping Giants'",2004,0.839962768151037,0.5418889720336469,0.6665278462297023,0.061,0.0,-4.264,204.696
25,"b'SOBLGCN12AB0183212'",652784,"b'Sue Thompson - Her Very Best'","b'AR47JEX1187B995D81'",37.83721,"b'Nevada MO'",-94.35868,"b'SUE THOMPSON'",0.0,124.86485,10,0.697,137.522,4,0.0,"b'James (Hold The Ladder Steady)'",1985,0.43541581815506936,0.3062422642462862,0.4952936212921635,0.0,0.0,-12.332,115.74
26,"b'SOPSWQW12A6D4F8781'",45730,"b'Live'","b'ARGIWFO1187B9B55B7'",,"b''",,"b'Five Bolt Main'",0.0,225.09669,7,0.53,164.672,1,0.0,"b'Made Like This (Live)'",0,0.6090637000310501,0.3636513650591166,0.37598430150044215,0.0,0.0,-5.908,225.097
27,"b'SOZQDIU12A58A7BCF6'",672016,"b'Strictly Confidential'","b'ARNTLGG11E2835DDB9'",,"b''",,"b'Clp'",0.0,338.31138,6,0.687,125.006,4,1.0,"b'Superconfidential'",0,0.5505136978482137,0.42270564102939107,nan,0.0,0.0,-6.486,338.311
28,"b'SONYPOM12A8C13B2D7'",160881,"b'The Real Twang Thang'","b'ARDNS031187B9924F0'",32.67828,"b'Georgia'",-83.22295,"b'Tim Wilson'",0.0,186.48771,5,0.762,90.022,1,0.971,"b'I Think My Wife Is Running Around On Me (Taco Hell)'",2005,0.4597971288376104,0.3499126116745628,nan,1.083,0.0,-4.516,175.467
29,"b'SOBZBAZ12A6D4F8742'",59744,"b"Willie Bobo's Finest Hour"","b'AROUOZZ1187B9ABE51'",40.79195,"b'New York NY [Spanish Harlem]'",-73.94512,"b'Willie Bobo'",0.0,168.25424,8,0.812,127.025,4,0.792,"b'Spanish Grease'",1997,0.5888271005018058,0.3796711247498673,nan,0.2,0.0,-9.616,161.89
30,"b'SOVYKGO12AB0187199'",373723,"b'Shake A Hand'","b'ARH4Z031187B9A71F2'",40.73197,"b'Newark NJ'",-74.17418,"b'Faye Adams'",0.0,156.39465,8,0.569,95.957,3,0.689,"b'Crazy Mixed Up World'",1961,0.3964552539172961,0.2992303679293693,0.0,0.562,0.0,-18.051,150.634
31,"b'SOGNCJP12A58A80271'",228326,"b'Occasional Rain'","b'ARB29H41187B98F0EF'",41.88415,"b'Chicago'",-87.63241,"b'Terry Callier'",0.0,342.56934,6,0.381,110.189,3,0.353,"b'Do You Finally Need A Friend'",1972,0.7068276713044582,0.4161730646266773,0.4137398358601097,0.063,0.0,-11.939,333.154
32,"b'SOLLHMX12AB01846DC'",463514,"b'The Emperor Falls'","b'AR1Y2PT1187FB5B9CE'",27.94017,"b'Brandon'",-82.32547,"b'John Wesley'",0.0,484.62322,4,0.283,138.007,4,0.893,"b'The Emperor Falls'",0,0.5605579839038146,0.45278947675222264,0.3775316449767025,28.172,0.0,-15.335,480.363
33,"b'SOYTPEP12AB0180E7B'",643400,"b'Best of The Shangri-Las'","b'ARAJPHH1187FB5566A'",40.7038,"b'Queens NY'",-73.83168,"b'The Shangri-Las'",0.0,164.80608,10,0.254,130.1,1,0.0,"b'Twist and Shout'",1964,0.6408071019636729,0.4182165181949368,0.4432913119053975,0.0,0.0,-10.922,156.177
34,"b'SOGXHEG12AB018653E'",663761,"b'20 Of Her Best'","b'AR0RCMP1187FB3F427'",30.08615,"b'Beaumont TX'",-94.10158,"b'Billie Jo Spears'",0.0,133.32853,4,0.384,160.839,1,0.0,"b'It Makes No Difference Now'",1992,0.5237146369702328,0.3846110839616365,0.0,0.0,0.0,-9.983,130.009
35,"b'SOOLYAZ12A6701F4A6'",12882,"b'Who Is Mike Jones?'","b'AREBBGV1187FB523D2'",,"b'Houston TX'",,"b"Mike Jones (Featuring CJ_ Mello & Lil' Bran)"",0.0,173.66159,7,0.299,41.993,1,0.0,"b'Laws Patrolling (Album Version)'",0,0.7936050803712417,0.42631795640769016,nan,0.0,0.0,-7.762,164.908
36,"b'SOGOSOV12AF72A285E'",270281,"b'Tibiri Tabara'","b'ARGUVEV1187B98BA17'",,"b''",,"b'Sierra Maestra'",0.0,313.12934,9,0.724,189.646,3,0.674,"b'\xc2\xbfD\xc3\xb3nde va Chichi?'",1997,0.5015447771039371,0.39273367554668775,nan,0.0,0.0,-9.512,307.688
37,"b'SOJXVAH12A8C139700'",244586,"b'Piouhgd + Widowermaker!'","b'ARPQ4Z01187FB3A736'",29.42449,"b'San Antonio TX'",-98.49462,"b'Butthole Surfers'",0.0,450.84689,4,0.726,130.586,4,0.42,"b'Barking Dogs (From "Piouhgd")'",0,0.8093237930019529,0.48801984168567314,0.593943075901947,0.467,0.0,-9.063,426.104
38,"b'SOVXMTN12A8C135A18'",157648,"b'Profities'","b'ARNQAVF11F4C844C04'",,"b''",,"b'Despina Vandi'",0.0,303.09832,8,0.532,128.292,4,0.83,"b'OUTE ENA EFHARISTO'",0,0.632559542284651,0.41168895978577885,nan,0.067,0.0,-8.879,294.818
39,"b'SORSECL12AB0182267'",644631,"b'Cracks'","b'ARXUT4W1187FB48BEB'",,"b''",,"b'Javier Navarrete'",0.0,128.83546,3,0.0,90.932,3,1.0,"b'Midnight Swim'",0,0.5975412179723806,0.38265197113973687,0.3943948561005826,0.0,0.0,-17.699,121.423
40,"b'SOOGFBZ12AC3DF7FF2'",730551,"b'Pieces Of Time'","b'ARDD1RC1187B9B52B4'",,"b''",,"b'Jacob Young'",0.0,456.30649,1,0.611,89.667,4,0.747,"b'In A Subtle Way'",0,0.49544592177023467,0.294861261887382,0.0,0.241,0.0,-19.478,451.315
41,"b'SOMSBGZ12AB018C4CB'",709879,"b'The Palest Grey'","b'ARLGWFM1187FB4AC9F'",34.05349,"b'California - LA'",-118.24532,"b"Scarlet's Remains"",0.0,198.73914,7,0.673,115.061,4,0.731,"b'Spin'",2007,0.5278650761586818,0.3931219335710068,0.450992311636255,0.0,0.0,-7.469,193.016
42,"b'SONYRZV12AB018AF70'",706005,"b'A Match & Some Gasoline'","b'ARWYVP51187B98C516'",42.33168,"b'Detroit MI'",-83.04792,"b'The Suicide Machines'",0.0,95.68608,2,0.421,115.887,4,0.744,"b'Burning In The Aftermath'",2003,0.6686745328613157,0.4675384440100101,0.5287824809425877,0.0,0.0,-2.022,87.806
43,"b'SONQBUB12A6D4F8ED0'",42595,"b"Jump Back - The Best Of The Rolling Stones_ '71-'93"","b'ARFCUN31187B9AD578'",51.50632,"b'London England'",-0.12714,"b'The Rolling Stones'",0.0,271.49016,9,0.301,139.333,1,0.0,"b'Angie (1993 Digital Remaster)'",0,0.8148296561331122,0.7357656929506414,0.8344926198909054,0.171,0.0,-10.358,263.784
44,"b'SOHGKJW12AC468A8BD'",782470,"b'Lo Mejor con La Orq. Broadway'","b'AR6YDKV1187B989230'",,"b''",,"b'Roberto Torres'",0.0,226.66404,0,0.863,117.271,4,0.453,"b'Sabor Guajiro'",0,0.4823560425909108,0.3500785789894733,0.0,0.311,0.0,-12.716,219.51
45,"b'SOINBCU12A6D4F94C0'",28723,"b'Grown Man'","b'ARV1JVD1187B9AD195'",35.91463,"b'Chapel Hill NC'",-79.05661,"b'Loudon Wainwright III'",0.0,190.48444,3,0.544,102.428,4,0.496,"b'Human Cannonball'",1995,0.6610801676039384,0.4427658420289504,0.5101193140330347,0.258,0.0,-15.663,177.029
46,"b'SOTWVQT12A58A79650'",557761,"b'A Bothered Mind'","b'AR7TTS41187B9B42D3'",34.36401,"b'Oxford MS'",-89.51877,"b'R.L. Burnside'",0.0,277.78567,2,0.0,89.984,4,0.0,"b'Glory Be'",2004,0.7011808736075507,0.4666288889016846,0.48213758506501503,0.24,0.0,-6.944,267.453
47,"b'SOTSEJY12AB0180F56'",417945,"b'Greatest Hits'","b'ART3O5Z1187B9AB043'",32.77815,"b'Dallas TX'",-96.7954,"b'Stevie Ray Vaughan'",0.0,248.78975,1,0.754,116.721,4,0.522,"b'Crossfire'",1992,0.7337989404362274,0.544257505724526,nan,0.183,0.0,-7.805,246.19
48,"b'SOTSETT12AB01863B8'",575531,"b'Bluesman'","b'AR5U94U1187FB5CDCF'",,"b''",,"b'John Hammond'",0.0,195.3171,7,0.98,123.142,4,0.678,"b"I Can't Be Satisfied"",2002,0.5906929179471623,0.45281783769711387,nan,0.0,0.0,-10.7,187.617
49,"b'SOTUNMH12A6D4FA3E6'",234425,"b'Etiquette'","b'ARRJNTE1187FB44E12'",,"b''",,"b'Casiotone For The Painfully Alone'",0.0,175.72526,0,0.522,141.919,4,0.445,"b'Nashville Parthenon'",2006,0.6653221619060184,0.3942171989010042,0.7858922883883538,0.734,0.0,-10.93,168.699
50,"b'SOEPPKB12AB018418B'",505301,"b'Ec8or'","b'AR6IRG41187B9A4D98'",52.51607,"b'Berlin Germany'",13.37698,"b'Ec8or'",0.0,217.23383,10,0.005,95.596,4,1.0,"b'Cocain Ducks'",1995,0.5040756699303163,0.3345773601190987,nan,1.042,0.0,-9.493,213.496
51,"b'SOGKIWV12A6D4F86C4'",74655,"b'Too Much Too Soon'","b'ARS1OWB1187B99EEAD'",,"b'New York NY'",,"b'The New York Dolls'",0.0,344.05832,11,0.425,154.953,1,0.0,"b'Human Being'",1974,0.717670524728552,0.4793084593382274,0.5616924111789523,0.068,0.0,-9.253,335.029
52,"b'SOPHYIS12AAF3B35A3'",322532,"b'Bossa Nova Stories'","b'ARGMXQW1187FB54C34'",-23.56287,"b'Sao Paulo Brazil'",-46.65466,"b'Eliane Elias'",0.0,251.42812,7,0.391,86.091,5,0.551,"b'The More I See You'",2009,0.6697261875661445,0.42791424698295477,0.4348380902608562,0.071,0.0,-12.009,237.598
53,"b'SOFHBAR12A6701D0FE'",14592,"b'Love_ Peace & Nappiness'","b'AROEL1B1187B988B90'",,"b'South Jamaica Queens'",,"b'Lost Boyz'",0.0,269.7922,7,0.715,90.218,4,1.0,"b'Certain Things We Do'",1997,0.5697411522818971,0.41224060053560735,0.4051157216913865,0.218,0.0,-11.043,257.416
54,"b'SOCPRKM12AB018A2FD'",515081,"b'Germicide'","b'AR8W8DN1187FB35ED0'",34.05349,"b'Los Angeles CA'",-118.24532,"b'The Germs'",0.0,206.05342,11,0.641,133.144,1,0.0,"b'Forming'",1977,0.6400483571565447,0.40439264015477133,nan,0.0,0.0,-11.506,206.053
55,"b'SOFGHAM12AB0186412'",765750,"b'Mafu\xc3\xa1'","b'ARUWLCL1187FB549B8'",,"b''",,"b'Yamandu Costa'",0.0,190.04036,2,0.105,205.317,4,0.0,"b'Mafu\xc3\xa1'",0,0.3977728757878008,0.38347574490669173,nan,0.0,0.0,-14.179,176.924
56,"b'SODHVES12A6701CE6B'",17220,"b'The Road To Hell Part 2'","b'AR3793X1187FB50CB3'",,"b'Middlesbrough England'",,"b'Chris Rea'",0.0,241.162,9,0.222,180.149,4,0.0,"b'Driving Home For Christmas'",1986,0.643182772912233,0.500691340913453,0.767727748373397,0.549,0.0,-8.531,230.342
57,"b'SOXIATP12AAF3B2184'",617077,"b'Vanguard Visionaries'","b'ARINEWW1187FB5577E'",,"b''",,"b'Perrey And Kingsley'",0.0,122.64444,0,0.61,102.538,4,0.869,"b'Spooks In Space'",1966,0.4114210482617737,0.3384148184832545,0.4348380902608562,0.99,0.0,-8.541,109.627
58,"b'SOGNQWU12A8AE4868F'",278999,"b'Be Yourself Tonight'","b'ARDGB6U1187FB3AD07'",51.50632,"b'London England'",-0.12714,"b'Eurythmics'",0.0,207.0722,0,0.442,84.164,4,0.853,"b'Tous Les Gar\xc3\xa7ons Et Les Filles'",1985,0.7510076200369779,0.5236990777653908,0.38293509007501925,2.583,0.0,-6.629,202.757
59,"b'SOYQOFI12A6D4F76E1'",19601,"b'Hometown 2001'","b'AR2J2WF1187FB46271'",54.48303,"b'Egremont Cumbria England'",-3.53444,"b'Francis Dunnery'",0.0,300.79955,7,0.666,124.175,4,0.698,"b'Too Much Saturn'",1995,0.548585130198109,0.3835242473277272,0.6104742577715245,0.0,0.0,-13.33,298.347
60,"b'SOVOLGY12A6D4F822B'",38599,"b'Eat / Kiss: Music For The Films By Andy Warhol'","b'ARUI8651187B9ACF52'",,"b'Garnant Wales'",,"b'John Cale'",0.0,228.46649,7,0.458,137.004,1,0.0,"b'Movement 4 [from Kiss] (Album Version)'",1997,0.7493178009614533,0.48165586241245567,0.2265553139555314,0.0,0.0,-12.412,228.466
61,"b'SOMZCVH12AB0182B8E'",619882,"b'The Ultimate Most Relaxing New Age Piano in the Universe'","b'AR89DTT1187B9A7ED5'",37.77916,"b'California - SF'",-122.42005,"b'Suzanne Ciani'",0.0,239.59465,7,0.527,106.33,4,0.526,"b'Stream'",0,0.6319466659983671,0.3807045358244573,0.4159831182884585,0.311,0.0,-21.552,236.507
62,"b'SONXJBL12AAF3B2C0C'",618615,"b'Classic Gold: Best of All'","b'ARMD0G81187B99A519'",,"b''",,"b'Vickie Winans'",0.0,228.93669,11,0.172,107.961,4,1.0,"b'Make Me Over'",0,0.6539378209700205,0.3968558693253486,nan,0.338,0.0,-8.686,219.574
63,"b'SOYWZTU12AB0180E26'",681639,"b'The Berzerker'","b'AR0VZWC1187B99BA57'",-37.81753,"b'Melbourne Australia'",144.96715,"b'The Berzerker'",0.0,165.61587,1,0.108,174.287,3,0.132,"b'Deform (live)'",2000,0.6683706115518646,0.45755390983649336,0.0,2.171,0.0,-6.222,165.616
64,"b'SOLGHDZ12AB0183B11'",449471,"b'Holy Roller Novocaine'","b'ARF2EHS1187B994F4E'",36.16778,"b'Nashville Tennessee'",-86.77836,"b'Kings Of Leon'",0.0,187.92444,0,0.612,116.823,4,0.347,"b'Wicker Chair'",2003,0.8457688664485438,0.7888059351620142,0.6859402266976852,0.328,0.0,-5.907,180.344
65,"b'SOTNTNJ12AAA15FBD6'",321356,"b'Jeux de dames_ vol. 1 (r\xc3\xa9alisation Ronald Rubinel)'","b'ARZKRD01187FB45FD2'",,"b''",,"b'Edith Lefel'",0.0,276.50567,0,0.29,101.972,4,1.0,"b"An ti chans'"",0,0.40745564385201366,0.30004649036641506,0.0,0.299,0.0,-4.638,261.956
66,"b'SOXZXXV12AAF3B3A67'",530141,"b'I Will Love Again'","b'ARK4H5K1187B992F74'",,"b''",,"b'Taras'",0.0,200.25424,11,0.056,127.97,4,0.0,"b"I Will Love Again (JJ's Club Radio)"",0,0.46017132366610164,0.18931487775261457,nan,0.0,0.0,-5.884,194.844
67,"b'SOPIKEG12A58291636'",104765,"b'White Trash ......'","b'AR06EB01187FB40150'",,"b'Berkeley CA'",,"b'NOFX'",0.0,144.50893,4,0.093,152.622,4,0.358,"b'Stickin In My Eye'",1992,0.7788167165625715,0.5542914890128156,0.6712360269845353,0.237,0.0,-7.787,140.057
68,"b'SOIRNBO12AC468D207'",695158,"b'Murskapunkkia'","b'ARKPDBH1242077DEB1'",,"b''",,"b'Murskahumppa'",0.0,285.17832,7,0.379,110.787,3,1.0,"b'Ota kiinni'",0,0.43588984708830425,0.26803783963074496,nan,0.0,0.0,-8.488,275.853
69,"b'SOSBDSF12AB0189007'",509770,"b'Canci\xc3\xb3n Animal'","b'ARBJSO81187B9BA09B'",,"b''",,"b'Soda Stereo'",0.0,246.69995,7,0.161,112.903,4,1.0,"b'Entre Can\xc3\xadbales'",1990,0.7111657865776896,0.46682699252718746,0.6261657596688281,0.322,0.0,-9.603,224.049
70,"b'SOIJXXM12A8C1416D6'",223779,"b'The Man from Snowy River'","b'ARRC2JF1187B9B6A93'",-24.9162,"b'AUSTRALIA'",133.39311,"b'Bruce Rowland'",0.0,84.03546,7,0.469,115.642,4,0.44,"b'Rosemary Recalls'",1985,0.44316239759770826,0.3004544598123077,0.0,0.328,0.0,-26.266,75.79
71,"b'SOHMMMC12AB0181C42'",466577,"b'One World One People'","b'ARNIFX51187FB418EA'",,"b''",,"b'Xcultures'",0.0,273.52771,1,0.652,125.013,4,1.0,"b'Sudanese Dance'",2000,0.4004335134580979,0.26627528554651025,0.1992382620006783,2.177,0.0,-6.305,268.893
72,"b'SOVJXVJ12A8C13517D'",148547,"b'Tales Of Wonder'","b'ARCCRTI11F4C845308'",,"b''",,"b'White Heart'",0.0,298.84036,5,0.596,113.277,4,0.872,"b'Where The Thunder Roars (Tales Of Wonder Album Version)'",0,0.47736475248353516,0.33750728916593725,0.26586104921065007,19.093,0.0,-9.998,289.46
73,"b'SOFZCTA12AB0188D8F'",423012,"b'Waterbed Hev'","b'ARNVH8S1187FB52F86'",18.11526,"b'Jamaica West Indies'",-77.27348,"b'Heavy D / McGruff'",0.0,161.38404,5,0.665,96.979,4,0.895,"b'Wanna Be A Player'",1997,0.6178701163443497,0.36366811024462387,0.23773394162247466,0.165,0.0,-9.161,161.384
74,"b'SOLRYQR12A670215BF'",7133,"b'The Best Of Both Worlds'","b'ARNLO5S1187B9B80CC'",,"b'Pasadena CA'",,"b'Van Halen'",0.0,209.29261,8,0.455,140.995,1,0.41,"b'Panama (Remastered Album Version)'",0,0.7446412459327763,0.5799889824287546,0.8244821296824321,0.0,0.0,-4.865,206.623
75,"b'SOCHRXB12A8AE48069'",358442,"b'Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness'","b'ARTDQRC1187FB4EFD4'",,"b'Los Angeles CA'",,"b'Black Eyed Peas'",0.0,229.61587,11,0.205,105.206,4,1.0,"b"Let's Get It Started"",2004,0.845601886640232,1.0059419659547393,0.6244254932707666,0.0,0.0,-4.882,213.664
76,"b'SOKBBXO12A6701DEA0'",15567,"b'Things Falling Apart'","b'ARK9TRQ1187B99C095'",41.50471,"b'Cleveland OH'",-81.69074,"b'Nine Inch Nails'",0.0,426.89261,0,0.05,63.017,4,0.378,"b'Metal'",2000,0.9057768886660886,0.5984585009824434,0.6355366486226686,0.286,0.0,-12.951,399.9
77,"b'SOWHYUG12A58A77FAB'",413222,"b'Your Funeral... My Trial (2009 Digital Remaster)'","b'ARODBRG1187FB3FD99'",,"b''",,"b'Nick Cave & The Bad Seeds'",0.0,269.26975,9,0.052,144.603,4,0.0,"b'She Fell Away (2009 Digital Remaster)'",0,0.6940216479070769,0.47940767557514763,nan,3.889,0.0,-11.751,262.798
78,"b'SOYSTDI12A6D4F6500'",80578,"b'Oasis of Love'","b'ARMBYRO1187FB57419'",,"b''",,"b'Nadine Renee'",0.0,249.41669,2,0.883,167.92,4,0.75,"b'Next Time'",0,0.4083890223759677,0.13924739387110993,0.19878534876524423,0.647,0.0,-6.693,238.434
79,"b'SOOOROX12A6D4F8400'",26902,"b"60's Triple set"","b'ARWY7I71187FB36C3D'",40.71455,"b'New York NY'",-74.00712,"b'Lesley Gore'",0.0,136.48934,9,0.386,129.122,1,0.0,"b"It's My Party"",1963,0.6069253585317187,0.3891007762801808,nan,0.229,0.0,-9.091,130.026
80,"b'SONSPZE12AB01819CE'",633532,"b'Yeah.  Well_ Anyway....'","b'AR6Y22S1187B99906F'",,"b''",,"b'Smartbomb'",0.0,233.27302,0,0.53,132.022,4,0.782,"b'Complicate It'",2001,0.5624637835796072,0.3224851056611973,0.0,0.386,0.0,-2.658,231.178
81,"b'SOHWGFU12AB017B036'",435830,"b'Un Titre de Toune'","b'ARI5P4N1187FB3F44D'",,"b'Minnesota'",,"b'Suburbs'",0.0,187.24526,1,0.842,183.92,1,0.063,"b'Monde De Fou'",2005,0.48100458301758264,0.3356518391847009,0.24906579485370342,0.107,0.0,-4.42,178.625
